REGION,AGE,RACE,RACED,HISPAN,HISPAND,EDUCD,DEGFIELD,CIT,COW,MAR,MIL,PAP,SEX,HICOV,INDP,INCWAGE,POVPIP,POWSP,SOCP,PINCP
3,53,1,100,0,0,64,0,1,1,3,4,0,1,1,2290,123000,501,1,511011,123000
3,26,1,100,0,0,71,0,1,5,5,1,0,1,1,9780,30000,501,1,559830,30000
3,31,2,200,0,0,114,36,1,4,5,4,0,2,1,9470,52000,415,1,1910XX,52000
3,77,1,100,0,0,114,37,1,B,2,4,0,1,1,BBBB,0,501,BBB,BBBBBB,60000
3,50,2,200,0,0,101,62,1,1,1,4,0,2,1,8190,55000,501,1,113021,55000
3,55,2,200,0,0,101,62,1,1,1,4,0,1,1,2370,55000,501,1,514XXX,55000
3,36,1,100,0,0,64,0,1,1,4,4,0,2,1,4880,26000,155,1,436010,26000
3,65,1,100,0,0,63,0,1,B,2,4,0,2,1,BBBB,0,84,BBB,BBBBBB,9700
3,63,2,200,0,0,101,62,1,B,4,4,600,1,1,BBBB,0,76,BBB,BBBBBB,9600
3,54,2,200,0,0,61,0,1,B,5,4,0,2,2,BBBB,0,29,BBB,BBBBBB,0
3,32,2,200,0,0,63,0,1,B,5,4,0,1,1,BBBB,0,29,BBB,BBBBBB,4800
3,56,2,200,0,0,63,0,1,B,5,4,0,1,1,BBBB,0,94,BBB,BBBBBB,12000
3,63,2,200,0,0,65,0,1,1,3,4,0,2,1,3390,30000,255,1,512020,32100
3,52,1,100,0,0,25,0,1,1,3,4,0,1,1,3875,18900,149,1,517041,18900
3,74,1,100,0,0,63,0,1,4,2,4,0,2,1,7870,0,184,BBB,436010,21500
3,44,1,100,0,0,114,60,1,1,1,4,0,1,1,6480,125000,501,1,271020,128500
3,41,1,100,0,0,114,23,1,3,1,4,0,2,1,7860,80000,501,1,119030,80000
3,47,1,100,0,0,63,0,1,1,1,4,0,1,1,2090,45000,284,1,49904X,45000
3,46,1,100,0,0,63,0,1,1,1,4,0,2,1,8990,1200,284,1,412010,1200
3,68,1,100,0,0,115,23,1,2,1,4,0,1,1,7970,35000,501,1,511011,95000
3,69,1,100,0,0,63,0,1,6,1,4,0,2,1,8980,0,501,BBB,395012,19500
3,22,1,100,0,0,63,0,1,1,5,3,0,1,1,7770,30000,236,1,373010,30000
3,55,1,100,0,0,63,0,1,6,5,4,0,1,1,770,0,288,1,472031,36000
3,39,1,100,0,0,101,19,1,1,5,4,0,1,2,7590,2600,20,BBB,273041,2600
3,52,1,100,0,0,63,0,1,3,3,2,0,1,1,9470,50000,418,1,332011,50000
3,23,1,100,0,0,63,0,1,1,5,4,0,1,1,2570,18000,418,1,271020,18000
3,51,1,100,0,0,63,0,1,3,3,4,0,2,2,8370,16000,126,1,119151,16000
3,74,2,200,0,0,65,0,1,B,1,4,0,2,1,BBBB,0,109,BBB,BBBBBB,11200
3,83,2,200,0,0,2,0,1,B,1,4,0,1,1,BBBB,0,109,BBB,BBBBBB,4800
3,80,1,100,0,0,115,23,1,B,1,3,0,1,1,BBBB,0,501,BBB,BBBBBB,66700
3,82,1,100,0,0,63,0,1,B,1,4,0,2,1,BBBB,0,501,BBB,BBBBBB,14000
3,51,1,100,0,0,63,0,1,B,1,4,0,2,1,BBBB,0,166,BBB,BBBBBB,12000
3,50,1,100,0,0,63,0,1,6,1,4,0,1,2,770,0,166,1,472221,15000
3,70,1,100,0,0,61,0,1,B,2,4,0,1,1,BBBB,0,12,BBB,BBBBBB,1400
